#{"t_start": 1636074514.9376554, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-954.44555,40,42.858646,10.343865,-954.44555
-952.140744,35,43.365759,73.402242,-952.140744
-1150.1735,50,44.131437,1.887366,-1150.1735
-1045.502077,39,44.73657,75.181296,-1045.502077
-1168.588944,87,45.959788,-205.749695,-1168.588944
-1074.583355,51,47.160552,-69.831061,-1074.583355
-1136.720144,71,48.310196,886.922823,-1136.720144
-1171.423814,64,49.350162,-117.568759,-1171.423814
-1166.198809,67,50.357312,-196.900046,-1166.198809
