#{"t_start": 1638351549.022799, "env_id": "multicomp/SumoHumans-v0"}
r,l,t,r0,r1
-1082.202296,55,1.768697,927.191083,-1082.202296
-982.896769,43,2.14681,1040.31822,-982.896769
-1317.432686,59,2.638314,652.370922,-1317.432686
-983.079278,39,2.954653,1057.089925,-983.079278
-991.682076,39,3.286414,1025.361298,-991.682076
-1018.8657,54,3.753191,941.666402,-1018.8657
-1082.922661,71,4.366028,819.305628,-1082.922661
-1106.307904,64,4.897757,900.58683,-1106.307904
-994.987001,60,5.423174,925.241344,-994.987001
-1037.890354,57,5.938539,923.072406,-1037.890354
-964.33378,42,6.313682,1036.027037,-964.33378
-944.295195,39,6.656689,1054.281696,-944.295195
-1050.188416,57,7.203146,973.023707,-1050.188416
-951.646271,36,7.541759,1070.328957,-951.646271
-1069.595132,54,8.031773,916.87776,-1069.595132
-1080.979257,49,8.485274,1037.049366,-1080.979257
-1021.903304,37,8.804201,1063.717481,-1021.903304
-1053.889263,50,9.265478,948.799181,-1053.889263
-1010.633276,53,9.767727,1017.760642,-1010.633276
-1053.635113,52,10.226253,943.742182,-1053.635113
-1021.191887,38,10.580497,1042.307793,-1021.191887
-1094.213124,54,11.074893,907.684644,-1094.213124
-1018.833506,48,11.482452,1076.80973,-1018.833506
-1210.768502,72,12.142315,848.818086,-1210.768502
-1042.01591,50,12.597995,961.816479,-1042.01591
-1004.482863,47,13.021537,1029.193302,-1004.482863
-964.760447,37,13.377274,1025.20946,-964.760447
-1072.166952,55,13.863749,911.994023,-1072.166952
-3844.302117,60,14.433882,-1825.89324,-3844.302117
-1005.343916,50,14.903034,970.629265,-1005.343916
-1307.343527,89,15.705069,706.337463,-1307.343527
-1404.81722,83,16.465616,461.708967,-1404.81722
-960.80797,48,16.895921,1001.864495,-960.80797
-1032.922758,49,17.329449,986.796307,-1032.922758
-4061.276271,56,17.82768,-2060.528427,-4061.276271
-1057.990031,47,18.236387,1045.052749,-1057.990031
-1011.569861,49,18.656541,997.617202,-1011.569861
-1078.773413,50,19.089922,1116.376191,-1078.773413
-1287.177044,77,20.138733,819.49147,-1287.177044
-995.966382,47,20.562913,970.496537,-995.966382
-4437.441029,112,21.543566,-2492.905513,-4437.441029
-1075.089748,83,22.282042,761.135096,-1075.089748
-1005.186222,43,22.648397,1030.90916,-1005.186222
-1134.431866,55,23.130903,986.952396,-1134.431866
-976.501326,52,23.576485,975.679726,-976.501326
-1073.670713,49,24.019353,989.430883,-1073.670713
-958.278369,43,24.379028,1084.151442,-958.278369
-999.685785,42,24.741642,1029.970434,-999.685785
-1010.530757,43,25.114281,1011.372484,-1010.530757
-1278.40832,71,25.721446,830.023548,-1278.40832
-10184.1967,122,26.77543,-8130.045792,-10184.1967
-990.887037,38,27.095403,1046.917486,-990.887037
-1130.112641,63,27.624151,919.638767,-1130.112641
